subcategory,result_descriptions
Developer/Programmer,technologyinformation net programming net desktop develop aspnet application have web programming java script css html sql server mssql mysql rdbms have sdlc azure devop onedrive git ui report have framework office technologyinformation net programming net desktop develop aspnet application have web programming java script css html sql server mssql mysql rdbms have sdlc azure devop onedrive git ui report have framework office
Developer/Programmer,
Engineering - Software,develop troubleshoot develop engineer programming erp problemsolving
Developer/Programmer,development software troubleshoot software software monitor security programming debugging troubleshooting ssrs development erp manufacturing develop
Testing & Quality Assurance,testing software webmobile application testing testing net application database sql testing fsd uat development agile scrum analytical root creative design testing design develop execute script regression testing develop testing developer monitor nonconforming software
Developer/Programmer,develop maintain application build pega platform design application java javascript programming application application server architecture monitor application troubleshoot application scienceinformation agile java js jquery web html javascript css xml manage application
Program & Project Management,accounting accounting window office visio control design
Developer/Programmer,web programmer male development network
Database Development & Administration,engineering build data develop maintain architecture statistical regression develop maintain domain scientist engineer develop sciencemachine science software engineering python programming dataset engineering numpy panda scikitlearn matplotlib seaborn framework pytorch tensorflow sql nosql spark control git engineer architecture tableau creative
Database Development & Administration,monitoring maintain db server cpu backup troubleshoot database maintain data database manage database installation maintain database security science mssql server mysql database administration ssis cloud database administrator analytical
Developer/Programmer,development software troubleshoot software software monitor security programming debugging troubleshooting ssrs
Web Development & Production,nan
Developer/Programmer,
Developer/Programmer,programming application web programming html ajax json xml sql server programming develop software application design maintain develop develop device testing device analyze
Developer/Programmer,nan
Developer/Programmer,application development confirm analyst supervisor programming analyze diagram programming maintain integrator database administrator maintain development revision control monitor application analysis developer analyze modifie programming encode science net js reactjs aws console platform powerapps devop devop git jenkins docker serverless architecture desirable analytical
Program & Project Management,sap sap sap analytical manage sap manage maintain sap manage sap manage report management
Developer/Programmer,backend web developer manage server development maintenance database frontend frontend application security design data storage apis authorization server management database administration application scripting database maintain backend apis codebase maintenance development
Program & Project Management,science application management conversation handson manage erp handson design control microsoft bond management deal stressful situation systematic analysis decisiveness kind walk walk extra mile difference analytical management
Program & Project Management,education science manage software development management scrum agile waterfall development have management pmp scrum management financial control report report report management clientfacing microsoft office have develop monitor report management management develop maintain
Testing & Quality Assurance,script mobile app web api manage execute testing ui testing testing regression testing testing testing engineer science software testing automated testing application api mobile web sql testing have cloud docker logical git
Developer/Programmer,nan
Developer/Programmer,php programming repair report web server installation maintenance engineeringinformation web web
Testing & Quality Assurance,develop testing application conform application negative testing bugfixe application testing platform developed file analytical development testing testing api science have banking testing design script usability uiux development software mobile device app web app software writer analyze development
Developer/Programmer,science development web apis security backend programming design api servlet jaxrs cdi jpa jta ejb java api tomcattomee wildfly quarkus rdbms postgresql sql query have struts framework have frontend web html css javascript development git analytical
Developer/Programmer,nan
Developer/Programmer,develop microsoft nav microsoft root analysis analyze design database web programming net logical analytical
Developer/Programmer,develop web application net programming software troubleshoot develop software analyze software development frontend backend software development science programming framework reactjs angularjs sql database sql server postgresql mysql friendly
Testing & Quality Assurance,testing application analyze testing software engineer application analytical problemsolving
Program & Project Management,office design platform blueprint banking sustainability banking robotic vision design desktop benchmarking develop analysis humancentere design design analysis report maintain restructure development development deloitte
Testing & Quality Assurance,engineer having erp software testing testing design testing testing testing programming php management jira google analytical reporting software development development design develop execute software testing testing software report development testing analyze development testing maintenance software development development testing
Testing & Quality Assurance,testing software webmobile application testing postman testing net application testing fsd uat development agile scrum analytical root creative design testing design develop execute script regression testing develop testing developer monitor nonconforming software
Database Development & Administration,microsoft marketing accounting application setting troubleshooting analysis testing design report informaticscomputer network engineeringsystem informationaccounting microsoft
Developer/Programmer,nan
Developer/Programmer,education engineeringinformation engineering php programming php framework laravel angularjs postgresql database applicationsproduct applicationproduct maintenance troubleshooting application design analyst analyst presenter application
Developer/Programmer,develop application python php rest api testing installation maintenance troubleshooting application electronics engineering science mobile cloud application have
Developer/Programmer,education informatics engineering scrum backend gateway laravel framework hperf framework backend programming develop application manage database retrieve back security backend maintain reuse developer develop backend architecture application application cyber developer web designer security build application
Program & Project Management,analysis application design testing microsoft office agile
Developer/Programmer,agile software development design deployment architect net nodejs react engage designer frontend engineer backend engineer apis maintain maintain science software application web application design restful apis net nodejs postgresql mongodb react debugging testing
Program & Project Management,nan
Developer/Programmer,design configure maintainmonitoring application software management monitor application developer maintain security backup maintain script lower intervention analytical web mobile application devop web developer testing administration maintenance management administration maintenance science engineering devop git gitlab cijenkin docker kubernete administration application tomcat jboss ruby nginx cloud aws environmentsystem deployment virtualization containerization vmware docker kubernete monitoring
Database Development & Administration,nan
Developer/Programmer,science development android mobile application java programming jetpack hilt retrofit restful apis have mobile opencv development git analytical science development android mobile application java programming jetpack hilt retrofit restful apis have mobile opencv development git analytical
Program & Project Management,develop develop report management manage management maintain have manage manage software development sdlc have sap itarea management problemsolving creative gresik java
Developer/Programmer,nan
Developer/Programmer,swift have develop banking app db postgree development
Developer/Programmer,nan
Program & Project Management,nan
Developer/Programmer,autocad software education manufacturing report
Developer/Programmer,development science aspnet vbnet programming sql server
Program & Project Management,nan
Developer/Programmer,solo actually software engineering reason build piece instead fastcode buggy spend software java kotlin frontend kotlin backend spend software reactjs commonly web development html typescript restful api database orm troubleshoot control management
Developer/Programmer,develop web maintain development maintain nodejs javascript web agile software development frontend framework react vuejs docker
Developer/Programmer,science electrical engineering mathematic html css javascript nodejs reactjs nextjs design api git develop development ui security
Web Development & Production,nan
Developer/Programmer,education engineering have odoo accounting programming python php java script web rest api
Engineering - Software,design analyze troubleshoot science electronic engineering software development software development java architecture oop software programming programming logical management
Developer/Programmer,monitor analyst report development develop develop testing bug fixing sap programming sap abap fullcycle programming report rd application webservice idoc rest api fiori sap ui abap have platform analytical
Engineering - Software,design analyze troubleshoot science electronic engineering software development software development java architecture oop software programming programming logical management
Developer/Programmer,software computing management develop agile creation architecture develop architecture golang development php framework apis restful rpc design openapiswagger grpc nosql mysql build architecture docker jenkins
Developer/Programmer,application analyst web developer uiux designer application design programming repair software report monitor software database
Database Development & Administration,education mysql uiux report
Developer/Programmer,developer develop web javascript build stunning ui apis management troubleshoot javascript frontend framework react vuejs problemsolving
Developer/Programmer,engineering science web app programming uiux html css ajax javascript web linux php laravelci framework sql mysql sql server oracle reactjs react native photoshop illustrator application creation laravel platform java script js react js json python java erp bc
Developer/Programmer,software computing management develop agile creation architecture develop architecture web developer vuejs react dom apis architecture restful apis design ui framework react spa css flexbox js framework jquery vue js framework storage build management
Developer/Programmer,nan
Developer/Programmer,internalexternal scienceinformation api ui sql testing application
Developer/Programmer,design html css reactjs vuejs restful api reactjs vuejs backend developer uiux designer application development websitesapplication codelibrarie mobile friendly frontend development reactjs vuejs reactjs vuejs javascript dom manipulation javascript ecma script restful api graphql development html css javascript javascript framework reactjs vuejs management reactjs vuejs javascript testing framework jest css sass css framework tailwind bootstrap foundation ui control git
Developer/Programmer,nan
Developer/Programmer,frontend backend development ui designer analyze design develop web application application developer restful api engineer frontend development ui designer analyze design develop react web application application backend developer designer rest wellarchitected backend development ui designer analyze design develop java web application developer restful api have programming reactjs gitlab nodejs office
Developer/Programmer,design build application mobile platform application design scienceinformation developer architecture viper swift cocoapod swiftui
Developer/Programmer,ux designer testing design uiux design manage application design design application application development architecture application developer html css javascript programming framework analyze develop web developer web web
Developer/Programmer,ios mobile security app developer security mobile app mobile security mobile security science engineering mobile development swift xcode analytical manage banking app
Developer/Programmer,swift framework development development storage design jira testing web framework develop platform development agile
Developer/Programmer,application backend api frontend uiux design testing application testing application docker
Developer/Programmer,develop uiux design design engage ui application develop ux wireframes storyboard ux usability testing design develop design mobile application developer science uiux designer mobile app design proven figma have graphic design agile design design uiux design uiux uiux design uiux design monitor attractive shape monitor develop
Developer/Programmer,nan
Web Development & Production,adobe creative figma design app
Developer/Programmer,programming scripting have tactical warfare application vbs platform development application vbs platform supervisor
Developer/Programmer,android android app kotlin kotlin platform git control github application design android xml design google uiux software development json rest api oop office
Network & System Administration,design network configure device troubleshoot
Help Desk & IT Support,education management engineering engineering installation troubleshoot hardware software network networking setting setting server database ipmac monitoring management configure network configure network device manage network network hardware server installation maintenance hardware network manage backup security monitoring management mikrotik device
Network & System Administration,manage slo management cloud platform monitor manage maintain cloud manage security maintain cloud science engineering engineer administrator server storage os window server directory ldap azure office have window admin cloud networking dns tcpip http vpc cloud monitoring zabbix grafana manage nagio virtualization vmware hyperv development cloud aws backup management redhat docker kubernete security vpn management
Help Desk & IT Support,analyze diagnosing installation desktop hardware window application software network database maintain security application notebook hardware troubleshoot ram vga report admin control devop hardware desktop notebook application window cisco outlook backup network lan wan vpn dns tcpip directory domain devop
Network & System Administration,science engineering windows server administration dhcp dns excel report window installation security lansweeper powershell software hardware monitoring window
Business/System Analyst,develop maintain appetite develop comply adequacy develop auditor audit analysis audit manage spending cio longterm accounting audit security audit security cisa cism cissp ceh iti management security standards cobit iso
Network & System Administration,sql javascript hardware software
Database Development & Administration,monitor report engineering isinformatic projectsinternshipsfreelanceinternship mention organizationalassociation seminarstrainingpersonal learningcertification mention obey neat polite sql database oslinux networking virtualization server storage
Database Development & Administration,education engineering science sql server database software sql server postgre sql query windows server office
Network & System Administration,engineering management vmware directory microsoft windows server wsus linux backup manage data monitoring server security comply
Network & System Administration,engineering application software hardware desktop office application management networking switching network security windows backup sap management networking network security unify vmware directory microsoft windows server linux backup ibm management storage manage management analysis
Network & System Administration,console monitor device networking radio pabx mpls metro network security data software hardware control enabledisable network management superior virtualization manage develop maintain deployment maintenance warehouse report security technologyinformation osi maintain mikrotik server virtualization analytical troubleshooting have sdwan have scripting devop
Network & System Administration,hr maintain database report database design database troubleshoot database database administrator server microsoft excel
Business/System Analyst,management reporting engineering scienceinformation office visio management development management erp sap web instagram instagram
Network & System Administration,administration development report excel education science multitasking management helpdesk office wifi programming database
Developer/Programmer,education majoring web development html css javascript programming aspnet database sql server mysql programmer programming analyst develop software application programming errorfree applicationprogram repair problematic systemsapplication analyst analyst software applicationssystem galvas outpatient claim glass denture path existence path development medical doctor office twice consultation saving cooperative joint outing
Developer/Programmer,develop maintain sap abap develop programming analyst control analyst gathering analyze design design report maintenance software testing testing testing testing science have software development programming programming sdlc software development have sap application programming abap have abap development programming adobe development have data dictionary design analytical
Team Leader,vision application software development software engineering troubleshoot software development engineering developer develop design manage drive science java software development architectural design debugging root
Developer/Programmer,abap development troubleshooting testing uat abap have java programming
Program & Project Management,management office utilization monitor report management manage marketing control manage manage manage control financial software engineering science have management management management management software development sdlc software development manage management management analyze development developer
Developer/Programmer,manage application development develop application application development identifying software development maintain architecture architecture science manage application development application development
Sales - Pre & Post,sow design topology bill systemsdevice design raci design management architect design network vpn lvpn dwdm fttx network security sdwan sdn sase atp ccna ccnp network designing design
Developer/Programmer,rechecke software application maintain software retrieve control analysis programming maintain control software programmer
Business/System Analyst,programming sql python statistical analysis analytical problemsolving tableau matplotlib statistical algorithm database management management database apis analysis statistical algorithm analyze dataset report report data analysis statistical analysis statistical analysis develop data database management maintain manage database security analyst engineer data analytical analysis data analytic
Network & System Administration,maintenance banking application troubleshoot telephone root bcp science application financial banking swift network networking tcpip vpn handson rdbms microsoft sql server virtualization vmware hyperv windows server linux swift analytical
Network & System Administration,office microsoft webmobile app office office develop manage security office internet manage develop monitor testing develop monitoring utilization warning drive maintain monitor manage security office monitoring security manage office maintain office web mobile app microsoft cisco office microsoft cloud zoom device maintain
Program & Project Management,analyze maintain maintain design monitor education engineering
Database Development & Administration,nan
Developer/Programmer,design testing development management platform analyze architecture software engineering science informatics engineering management php framework larafel codeigniter mysql sql jquery javascript css wordpress bootstrap mysql typescript financial git
Business/System Analyst,nan
Help Desk & IT Support,maintain software application troubleshooting networking setting lan wan network setting education engineering engineering network network drive linux hardware device have hardworking maintenance
Management,monitoring develop
Database Development & Administration,analysis architecture data application compile
Business/System Analyst,
Team Leader,network maintenance
Sales - Pre & Post,
Database Development & Administration,database
Testing & Quality Assurance,design
Developer/Programmer,nan
Product Management & Development,vision develop vision
Help Desk & IT Support,education informatics engineering
Program & Project Management,nan
Database Development & Administration,data engineer database administrator
Network & System Administration,
Help Desk & IT Support,engineering
Consultants,
Other,
Developer/Programmer,nan
Network & System Administration,analyze design network network
Architects,
Help Desk & IT Support,education network engineering
Engineering - Software,net developer engineer
Network & System Administration,
Network & System Administration,
Business/System Analyst,engineeringinformation systems
Database Development & Administration,statistic mathematic
Database Development & Administration,installation
Network & System Administration,manage maintain app
Developer/Programmer,
Help Desk & IT Support,query software hardware software
Network & System Administration,nan
Help Desk & IT Support,
Consultants,sap
Management,development develop
Engineering - Software,scienceinformation
Management,nan
Security,monitor security malicious security
Developer/Programmer,application
Network & System Administration,mes application development maintenance net framework database
Developer/Programmer,nan
Developer/Programmer,develop application maintain application
Developer/Programmer,seek
Network & System Administration,
Business/System Analyst,analyze design
Network & System Administration,nan
Developer/Programmer,nan
Product Management & Development,drive
Team Leader,
Business/System Analyst,
Consultants,have sap
Network & System Administration,manage maintain server network
Developer/Programmer,nan
Network & System Administration,education engineering science engineering science
Engineering - Network,education engineering science engineering science
Network & System Administration,nan
Network & System Administration,troubleshooting monitoring report
Developer/Programmer,application development
Sales - Pre & Post,
Business/System Analyst,analyze
Help Desk & IT Support,nan
Developer/Programmer,education informatics engineering scrum backend gateway qris snap laravel framework hperf framework backend programming bsd develop application manage database retrieve back security backend maintain reuse developer develop backend architecture application application cyber developer web designer security build application
Team Leader,developer net application aspnet monitoring control application application net education majoring engineeringinformation science programming aspnet net sql server postgresql mysql framework apis analyze troubleshoot linux os github develop web application application
Engineering - Software,design develop vision software development vision control analyze software engineering electrical science electronic engineering vision software development vision development science development algorithm logical build
Developer/Programmer,develop application backend apis maintain application science engineering education frontend developer js framework web html css javascript github
Developer/Programmer,web development html javascript css cloud platform rd management companys cloud computing sql database management data github management control docker script web development programming debugging cloud platform rd management sql manage database github manage problemsolving rapidly technological iso
Architects,nan
Security,security network script database server cloud platform rd management companys cloud computing security report security security cloud platform rd management develop security security bcp drp monitor bcp drp monitor office application rapidly technological iso
Sales - Pre & Post,networking mep sub engage mep develop network monitoring network build incentive development
Network & System Administration,engineering scienceinformation develop web application develop mobile application analytical logical react vue bootstrap nodejs restful api php javascript html css git rdbms database mysql nosql mongodb perls
Security,manage management testing application develop security testing application iso security monitoring report security security framework iso linux hardening have security testing cybersecurity ceh cism cissp grafana splunk analysis engineering monitoring security monitoring logrhythm qradar engineering security monitoring security monitoring logrhythm qradar report security manage monitoring compile report report security manage monitoring
Developer/Programmer,education engineeringinformation development java javasript html css python programming have developer api creation sdlc software development application development have
Program & Project Management,management monitor manage report management education science education management have have banking banking report analytical management management
Technical Writing,banking manufacturing developer net application aspnet monitoring control application application education majoring engineeringinformation science net net programming analyze troubleshoot github develop web application application programming aspnet net sql server
Consultants,scienceinformation programming algorithm database microsoft sql server query software engineering developer logical
Network & System Administration,maintenance ccna education maintenance manage analyze ccnp education maintenance maintenance cctv ccna education maintenance cctv management have education
Business/System Analyst,have analystsystem analyst bankingfinancial industryother nonbanke selfstarter develop have elicit decksproposal problemsolving office expansion analysis analysis tradesupply analysis valuebusiness qas developer improvementsproductsfeature
Network & System Administration,device server nas monitoring network device device device network internet network lan mikrotik wifi server cloud configuring hardware server telephone monitor report server installation ssl installation backup backup backup database mysql postgresql server backup science linux ubuntu debian server cisco storage vpn setting vmware devop platform docker network lan wan mikrotik network security windows server administration installation developer database mysql postgree programming php python
Security,server linux ubuntu window server cloud platform rd management companys cloud computing installation application github dbms linux server security linuxwindow server cloud platform rd management problemsolving rapidly technological iso
Developer/Programmer,nan
Sales - Pre & Post,telecommunication management have develop manage erp drive manage manage development control development build
Web Development & Production,nan
Security,engineer monitor security cyber security analyze cyber security maintenance cyber security security informatics engineering science have security engineer analytical cyber security network security device security device comptia security ceh security
Developer/Programmer,build web application apis control git jquery css html php laravel database mysql postgre sql mongodb firebase programming linux cloud aws cloud agile scrum database design scienceinformation developer engineer web api mobile development jquery css html php laravel mysql database postgre sql mongodb firebase programming linux cloud aws cloud agile scrum analytical problemsolving
Security,security develop security framework architecture develop maintain security framework analyze control monitor control security security management software engineering science security cyber security iso security have iso cloud
Consultants,software engineering management software design programming java python javascript database sql query have software
Consultants,sap design configure sap troubleshoot sap science sap sap sap sap
Testing & Quality Assurance,scienceinformation testing testing regression mobile testing platform testing security testing testing uiux testing testing analytical testing testing web application mobile app design testing testing uat testing testing testing report applicationsoftware
Testing & Quality Assurance,testing report development testing testing report bugsdefect development report development report agile software energetic creative processmodel agile constant
Network & System Administration,lan wan network segment hardware software maintain backup consistently monitor troubleshoot network stability maintain network setting maintain cctv fingerprint computerrelated macro excel network security routing microsoft windows server backup cloud platform aws azure google cloud platform analytical
Help Desk & IT Support,engineering hardware desktop network lan wan vpn dns tcpip monitoring software hardware troubleshoot problemsolving
Engineering - Software,develop maintain application api database design wireframe design build maintain application self design inception design selfteste application developer architect application golang development today html css javascript jquery web application apis mysql server db db admin db db programming query secured defensive programming configuring web server linux control foundation server github sdlc agile waterfall generating selflearn wfh arjuna kebon jeruk
Network & System Administration,education engineering windows server os linux server storage troubleshoot hardware software server network mikrotik maintain network security virus phishe malware backup management hardware maintenance development networking engineer development server maintenance oracle database administrator linux os administrator
Developer/Programmer,nan
Developer/Programmer,software application report software hardware platform web protocol utilize development continued build manage development platform rd electrical engineering programmer developer develop programming java java script
Program & Project Management,reinsurance analyze management management mathematic statistic analyst internship analytical database nice java mysql php
Developer/Programmer,develop maintain web application php laravel framework sql query mysql postgresql restful json apis application design troubleshoot application development science php developer laravel framework database management mysql postgresql restful json apis html css javascript web problemsolving
Network & System Administration,configure maintain hardware software server storage network device backup security device management right administration directory management nas administration restoration diagnostic hardware software manage hardware receipt science network engineering
Team Leader,management vision develop vision investor monitor companyrelevant kpis manage loss crossfunctionally marketing management engineering design analytical businessoriente
Telecommunications,design troubleshooting management installation manage troubleshoot management configure monitor management report installation develop analyze develop maintain report have have msoffice msoutlook internet office
Consultants,science sap design report sap have sap analytical manage accounting sap analysis develop design configure troubleshoot analyze software design
Other,canva platform platform cleansing database maintain database graphic design creative engaging attractive canva obs software capcut
Network & System Administration,administrator maintenance configure maintain network maintain sdwan control monitoring fiber optic troubleshoot maintain electronic cameras network electronic software erp app software science network administration maintain electronic science
Consultants,analysis root analyze
Engineering - Network,root report engineer engineer analysis logical
Help Desk & IT Support,education excel google tcpip pos hardware motor vehicle merchantscustomer scheduler miss installation initial installation visit merchant merchantscustomer conveying joiner reporting morning bapp selfchecke merchantcustomer bekasi
Help Desk & IT Support,engineeringinformation engineering sql server vbnet microsoft office network installation tcpip lanwan software hardware
Help Desk & IT Support,office software application
Product Management & Development,development development maintain hubspot marketing marketing management hubspot crm crm database build develop marketing excel
Network & System Administration,erp sap net programming vbnet sql report erp sap blueprint addon programming report report
Security,engineering engineering endpoint security application security network security uem malware analyst security security control maintain endpoint security server hardening endpoint security security
Developer/Programmer,design analyze troubleshoot science electronic engineering software development software development java architecture oop software programming programming logical management
Consultants,sap configure sap science have sap sap sap have have analytical have analytical systembusiness gresik java attractive
Developer/Programmer,design analyze troubleshoot science electronic engineering software development software development java architecture oop software programming programming logical management java
Consultants,development blueprint testing bug science have sap hr have management admin management have sap have analytical java attractive
Consultants,design analytical report microsoft sql oracle sap ibm design develop data data metadata management analytical datarobot python office financial manufacturing telecommunication analytic data platform lifecycle scoping design development testing deployment postgraduate science software engineering statistic mathematic programming python pivotal hortonwork mapr oracle bda sql oracle db microsoft sql server ibm netezza teradata mysql spark mapreduce hbase sqoop flume cloud data engineering agile software engineering agile control management git linuxunix shell scripting drive
