job_title;company;descriptions;location;subcategory;type;salary;date_ingestion
Java Developer;Next IT;"Active English is mandatory; Proficiency in Korean would be an advantage; Candidate must be able to work in a fast-paced environment; Candidate must have good interpersonal skills, good attitude, integrity, and communication skills; Understanding about basic web development: HTML5, CSS, JavaScript, and jQuery; Understand and have experience with the Java Spring framework; Understand RDBMS and have experience working with RDBMS like Oracle or PostgreSQL DB (we are using Oracle and PostgreSQL DB).; Have basic knowledge related to MVC concepts, REST API, and micro-services.; Have experience developing and testing the API using Postman.; Web application development of a new solution or maintenance Support Banking applications; Create software/technical documentation; Work with the Korean manager (communication using English) and Indonesian colleagues; Communicate with customers, analyze requests, and provide technical support.";Jakarta;Developer/Programmer;full time;;16/01/2024
IT Administration;PT. Cipta Makmur Pertiwi;"Minimum S1 education (preferably Information Systems & IT); Minimum age 30 years; Minimum work experience 2 years; Able to analyze financial data; Have high accuracy; Have Problem Solving abilities; Have advanced skills in using MS. Excell, Google Sheet; Develop, maintain a database and ensure the data contained in it is correct and can be used as basic reporting material; Interpret data, analyze results using statistical techniques and provide insight or ongoing reports to management; Able to work in a team";Surabaya, East Java;Database Development & Administration;full time;IDR 3,500,000 – IDR 4,000,000 per month;16/01/2024
IT Quality Assurance;PT Electronic Data Interchange Indonesia (Member of Pelindo);"Preferred Bachelor (S1) Informatics Engineering/Information Systems/Computer Science/Electrical Engineering;; Preferably with at least 2 (two) years of experience;; Have experience in testing additions or adjustments to CR; Familiar with creating Test Case / Test Scenario documentation; Have experience with Jira or other project management tools; Mastering automation testing such as Jmater or others is an added value; WFO willing; Can join ASAP";Jakarta;Testing & Quality Assurance;Contract/Temp;;16/01/2024
IT QUALITY ASSURANCE (QA) AUTOMATION;PT PESONNA OPTIMA SERVICES;"Maximum age 30 years;; Minimum D3 from the Department of Informatics Engineering, Information Systems, Computer Engineering, Information Management, Electrical Engineering, Mathematics, or Statistics;; Minimum GPA 2.75;; Have experience as an IT Quality Assurance/Application Development Project for at least 1 (one) year;; Active and have the ability to learn quickly;; Can work independently without supervision or collaborate in groups;; Able to work under pressure and deadlines;; Able to communicate well, both in Indonesian and English;; Willing to be Full WFO at PT Pegadaian office (Jl. Salemba Raya No. 2 Central Jakarta);; Create detailed, comprehensive and structured test plans and test cases;; Interpret, establish, and comply with quality assurance standards;; Carrying out analysis;; Finding the root of the problem and taking action to resolve it;; Documenting quality assurance activities in the form of reports and internal audits;; Develop new standards for production according to needs;; Create a testing protocol;; Ensuring the application meets standards and requirements;; Recommend application improvements after testing;; Document a series of application improvement notes for future reference;; Prepare planning for application Standard Operating Procedures (SOP);; Collaborate with internal teams for problem discovery and resolution;; Understand and use Version Control tools (GitHub, GitLab);";Central Jakarta, Jakarta;Testing & Quality Assurance;Contract/Temp;IDR 6,000,000 – IDR 9,000,000 per month;16/01/2024
IT SAP ABAP;PT Mitra Adiperkasa Tbk;"Education – Bachelor's degree, preferably Information Technology; Experience – 3 to 5 years of experience in SAP programming skills; Experience – Involve in 2 lifecycles Projects; Competencies – Communication, Multi-tasking, Integrity, Proactive; Full time position available; Resolving and Maintaining high performing service support functions based on information base or functional service; Think to consider all existing functions and technologies to speed develop and get the best ABAP Program; Ensuring technical documentation is in place as standard documentation; Ensuring technical documentation is in place as standard documentation; Well communicating with SAP Development Manager to get the best ABAP Program including Logic and Using Standard Function";Central Jakarta, Jakarta;Engineering - Software;full time;;16/01/2024
IT Engineer (Fresh Graduate);PT Monotaro Indonesia;"Bachelor Degree in Information Technology, Computer Science, Information Systems or equivalent (fresh graduate); Organization involvement experience will be an advantage; Have learned at least 1 programming language (Python or similar).; Understand Query (SQL).; Willingness to learn new technologies; Quick learner and challenge enthusiast; Fluent in English both writing and speaking; Adapt to MID technologies; Ensures any given tasks are reported on and resolved in a timely manner; IT support related department or user, according to task.; Support user applications (ERP [Odoo], PIM, SM) and batch systems; Identify current system strengths and weaknesses to suggest areas of improvement; Interacting with existing IT team and related users for relevant issues.";Jakarta;Engineering - Software;full time;;16/01/2024
IT Assistant Project Manager;PT. Median Talent Raya;"Maximum age 35 years; Minimum education Diploma III or Bachelor Degree majoring in Computer Science/Information Technology; Mastering Microsoft Office.; Have a minimum of 1-year experience in the related field is required for this position.; Through understanding of Project Management fundamentals; Understanding basic of IT area (Software, Hardware & Networking); Having Advanced Project Manager Certification (APMC) and Certified Project Manager (CPM) certificate will be an advantage; Good leadership, organizational, and time management skills; Good personality; Have good communication skills; Can speak English both oral and written; Good reporting and on time.; Can work on a team or individual and ready to work under pressure; Honest, responsible, thorough and disciplined; High COMMITMENT and INTEGRITY work.; Able to work in flexible time; Ready to work as soon as possible; Physically and mentally healthy; Handle, Assist and cooperate with the project management office in terms of administration and project documentation; Assist with planning, from start to finish of the project, ensure complete documentation and status for each project.; Prepare and distribute project materials; Performing similar duties assigned by the Project Manager due to project's interests; Schedule meetings and keep minutes, Breakdown project into doable tasks and estimate duration; Monitor progress, create weekly workflow, track expenses and work on budget forecasts.; Implement policies and procedures; Monitoring and well preparing for Project Final Report until Invoicing; Alert the project manager to issues as they arise; Report on team and project performance; Foster positive relationships with stakeholders.";South Jakarta, Jakarta;Program & Project Management;Contract/Temp;IDR 6,000,000 – IDR 8,000,000 per month;16/01/2024
Quality Assurance;Ciputra Group;"Proficient in Project Management principles; Understanding of the Software Development Life Cycle (SDLC) concept; Possess good leadership skills; Have analytical skills for decision-making; Demonstrate commitment to achieving end results; Possess good oral and written communication skills; Have excellent interpersonal skills and negotiation abilities; Exhibit analytical skills to identify problems from strategic, business, and system perspectives in solving issues; Be open-minded, critical, dynamic, and proactive; Provide a test plan and then continue to provide test cases; Create and maintain detailed, comprehensive and well-structured test cases; Do UI Testing manually; Create report, reproduce & manage bug reports and actively communicate with the team; Collaborate with developers, UI/UX, Business Analyst and Project Management teams to create a high-quality product; Be open to learn and improve the testing process with new methods/technology; Candidate must possess at least a Bachelor's Degree, Computer Science/Information Technology,; Engineering (Computer/Telecommunication), Science & Technology or equivalent; Fluent in Microsoft Office tools; Have Minimum 1 year experience; Experienced and happy to work in manual testing web and mobile based applications; Experienced in working with JIRA or other tools for Test and Defect Management tools; Experienced in making scenario testing in Indonesian and English; Quickly learn for something new; Love UI/UX & Workflow; Pay attention to details; Critical thinking";South Jakarta, Jakarta;Testing & Quality Assurance;full time;;16/01/2024
Software Development & Operations Staff;PT. INVESTAMA FLEET BLOOMING;"Design, develop and test Applications/Software; Implementing the use of Applications/Software and conducting user training; Identifying “bugs” and “gaps” in the application; Carry out routine maintenance of Applications/Software; Compile software documentation; Minimum education: S1 majoring in Informatics Engineering; Have a minimum of 1-2 years experience in the programming field; Have experience in ERP software implementation & administration; Have experience in API Development; Mastering PHP Codeigniter Framework or Laravel programming; Mastering HTML5 & CSS3 Bootstrap Framework or Taldwind.; Mastering JQuery, Javascript-AJAX, JSON.; Mastering the use of MySQL and Oracle; Placement location at PT. Mekar Armada Investama in Tanah Abang, Central Jakarta.";Central Jakarta, Jakarta;Developer/Programmer;full time;;16/01/2024
Go Developer;PT Wilwatikta Jaya Abadi;"Have a solid track record of Software development in an open source environment; Are knowledgeable in a range of software tools and languages; Thrive working in a dynamic team; Tend to be a naturally inquisitive, active participant in the architecture of software. We love recommendations for relevant tools and new processes; Really enjoy refactoring towards clear goals; Full time working in Malang, East Java; Have a knowledge with Go.; We only work with clean, well-tested, idiomatic code; Know all about Linux and be comfortable in the terminal; Have an active Github account.; Have a knowledge of databases, such as MongoDB, PostgreSQL, and others; Feel comfortable reading another language code, even if you don't write it.";Malang, East Java;Developer/Programmer;full time;IDR 3,500,000 – IDR 5,000,000 per month;16/01/2024
Engineering Staff;PT PRIMA PRESISI ABADI;;Karawang, West Java;Engineering - Software;full time;IDR 5,000,000 – IDR 7,000,000 per month;16/01/2024
Master Data Officer;PT Garudafood Putra Putri Jaya;"Support for Setting Promotion on Invoices; Validate promotion setting proposals (SNS/Principal/OB potential expenses); Execute promotion settings at the Head Office and conduct testing on the Database Backup; Ensure successful promotion settings monitoring at the depo; Assist in problem solving related to promotion settings; Review weekly and monthly promotion setting reports; Provide updates on progress and address any issues occurring at the depo; 2 years of experience in Commercial Finance; Proficient in master data management in ERP systems (BOSNet and SAP); Familiar with price structures, discount structures, and Principal Allowances; Computer literate, especially in SQL Query, Excel Formulas, MS Word, and other supporting applications; Background in Fast-Moving Consumer Goods (FMCG); Honest, diligent, meticulous, and enthusiastic about learning new things; 2 years of experience in Commercial Finance; Proficient in master data management in ERP systems (BOSNet and SAP); Familiar with price structures, discount structures, and Principal Allowances; Computer literate, especially in SQL Query, Excel Formulas, MS Word, and other supporting applications; Background in Fast-Moving Consumer Goods (FMCG); Honest, diligent, thorough, and enthusiastic about learning new things; Support for Setting Promotion on Invoices; Validate promotion setting proposals (SNS/Principal/OB potential expenses); Execute promotion settings at the Head Office and conduct testing on the Database Backup; Ensure successful promotion settings monitoring at the depo; Assist in problem solving related to promotion settings; Review weekly and monthly promotion setting reports; Provide updates on progress and address any issues occurring at the depo";South Jakarta, Jakarta;Database Development & Administration;full time;;16/01/2024
Fullstack Developer;PT. National Education Orbit;"Education: Diploma or Bachelor's degree in Computer Science, Engineering, or related field; Experience: At least 1 year of experience in software development, with a focus on full stack development, and a proven track record of delivering high-quality products; Programming in Java, Python; Databases in PostgreSQL; Having experience in creating API, have experience in data processing; Adaptability: Ability to thrive in a fast-paced and dynamic work environment, adapting to changing requirements and priorities effectively; Team Player: A collaborative and team-oriented approach, with a strong sense of accountability and a commitment to achieving shared team goals; Education: Diploma or Bachelor's degree in Computer Science, Engineering, or related field; Experience: At least 1 year of experience in software development, with a focus on full stack development, and a proven track record of delivering high-quality products; Programming in Java, Python; Databases in PostgreSQL; Having experience in creating API, have experience in data processing; Adaptability: Ability to thrive in a fast-paced and dynamic work environment, adapting to changing requirements and priorities effectively; Team Player: A collaborative and team-oriented approach, with a strong sense of accountability and a commitment to achieving shared team goals; Minimum 3 years experience as Full Stack Developer; A quick learner; Proven experience as a Software Engineer, Full Stack Developer, or similar role; Experience developing desktop, mobile, or web applications; Knowledge of multiple frontend languages, libraries, and frameworks (eg HTML/CSS, JavaScript/TypeScript, XML, React, Redux, Node.js); Experience developing apps with Redis, Kafka/RabbitMQ Familiarity with databases (eg MySQL, PostgreSQL, MongoDB); Familiarity with UI/UX design; Experience communicating and teamwork skills";Jakarta;Developer/Programmer;full time;;16/01/2024
WEB DEVELOPER;PT Lucky Indah Ceramics;"Maximum age 35 years. Minimum education: Bachelor's Degree in Information Systems/Information Engineering; Minimum 5 Years Experience as a Web Developer; Mastering T-SQL (MySql, MSSQL SERVER); Mastering HTML5, CSS3, Javascript, JQuery, Bootstrap, JSON; Mastering the latest implementation of PHP Web development; Mastering Back End Integration API (Third Party); Experience in collaborative development tools (GitHub); Has strong programming logic; Can communicate well & work together with the team; Include Portfolio Link in CV & Willing to demonstrate portfolio during interview; Designing & Developing Company Web Based Systems; Maintenance of Company Applications/Programs; Maximum age 35 years. Minimum education: Bachelor's Degree in Information Systems/Information Engineering; Minimum 5 Years Experience as a Web Developer; Mastering T-SQL (MySql, MSSQL SERVER); Mastering HTML5, CSS3, Javascript, JQuery, Bootstrap, JSON; Mastering the latest implementation of PHP Web development; Mastering Back End Integration API (Third Party); Experience in collaborative development tools (GitHub); Has strong programming logic; Can communicate well & work together with the team; Include Portfolio Link in CV & Willing to demonstrate portfolio during interview; Designing & Developing Company Web Based Systems; Maintenance of Company Applications/Programs; Bachelor's degree in Web development or related field, or relevant experience; Be able to speak Mandarin (more preferred); Proficient in JavaScript, HTML, CSS, Javascript (is a must); Solid knowledge and experience in programming applications; Proficient in My SQL, WordPress, Shopify; Be Able to work in Front-end and Back-end Web developer; Solid ability in both written and verbal communication; Knowledge of programming language and technical terminology; Able to develop ideas and processes and clearly express them; Knowledge of SEO (is a plus point); High degree of independent judgment; Able to solve complex problems.";Central Jakarta, Jakarta;Developer/Programmer;full time;;16/01/2024
Junior Full Stack Web Developer;Smart Integrated System;"Mastering the use of the Laravel Framework: Model, View (Blade), Controller, Migrations, Seeder.; Mastering the use of Laravel Livewire is a plus.; Mastering the use of Javascript (Jquery) is an added value; Mastering MySQL / PostgreSQL Database is an added value; Mastering the Use of Version Control (Github) is a plus.; Able to work together in a team; Able to work under pressure.";Palembang, South Sumatra;Developer/Programmer;Casual/Vacation;IDR 2,500,000 – IDR 3,750,000 per month;16/01/2024
PHP VueJS Developer;PT CITTA PARAMA GUNA;"Bachelor's degree in computer science, information technology, or a similar field; Has experience min. 3 - 5 Years in relevant position; Experience in retail industry or e-commerce; Proficient in PHP and Laravel framework; Strong expertise in front-end development using Vue.js, HTML, CSS, and JavaScript; Experience with RESTful API development and consumption.; Familiarity with database systems such as MySQL or PostgreSQL; Version control using Gitlab; Knowledge of web application security best practices; Location WFO Kab. Bandung; Willing to work Onsite/WFO in Bandung area; Able to join ASAP";Bandung, West Java;Developer/Programmer;Contract/Temp;;16/01/2024
ERP Business Analyst;PT. Berca Hardayaperkasa;"Minimum diploma in Accounting or Information Systems; Fresh Graduates are welcome to apply; Ability to work effectively in a team as well as independently; Good communication & interpersonal skills; Hard worker, fast learner and ready to work under pressure; Willing to travel if needed; Experience in SQL Programming (Oracle, SQL Server) is an advantage; Experience in minimum 1 full cycle of Enterprise Application implementation (ERP); Job Responsibilities:; Gathering business requirements from customers; Analyzing & designing best solutions for customers; Doing series of testing on delivered solution; Writing required documentation based on project stage";Central Jakarta, Jakarta;Program & Project Management;full time;IDR 6,000,000 – IDR 7,500,000 per month;16/01/2024
IT Programmer;PT Putra Jarum Mas Mandiri;"Building a buying and selling transaction recording system using Javascript; Create business reports automatically; Create a sales website from 0.; Maintaining and optimizing existing systems; Work directly with the product manager and direct owner; Minimum S1 Computer / related field; Excellent coding skills in Go, Java, or similar object-oriented languages; Fresh Graduates welcome; Have good communication skills; Hybrid Working Arrangement; The office location is in Dadap, Tangerang;";Tangerang, Banten;Developer/Programmer;Contract/Temp;IDR 6,000,000 – IDR 9,000,000 per month;16/01/2024
Junior Project Manager (Assessment Center);PT Aneka Search Indonesia;"Sending assessment materials to the associate on duty at H-1; Administering Roleplay exercises, if there is only 1 pax in the assessment that day; Guiding the course of a series of assessments both online and offline: Guiding participants according to the implementation schedule, Administering assessments in online meeting applications (Zoom, Teams, etc., Carrying out the opening of assessment sessions, Explaining the use of the assessment platform used by participants, Directing participants to breakout rooms, Administering each link, username and password that participants need to use, Arranging the flow of the Assessment Center implementation to ensure timely completion of each activity, Ensuring each activity is properly recorded, Coordinating the assessors involved on the day, Helping participants overcome obstacles experienced during implementation, Ensure that participants have completed each assessment activity, close the assessment session for each participant; carry out scoring/give assessments, record evidence, and carry out the Quality Control/QC process for each AC activity/exercise carried out by the assessment participant.";Setiabudi, Jakarta;Program & Project Management;full time;;16/01/2024
ERP Support And Maintenance;PT Inti Data Utama;"Able to perform all Consultant Technical Jobs; Design, develop and manage the technical deployment for product customizations at customer sites; Design interfaces, define integration workflows and solutions; Make Changes to User Interfaces, Business Rules, Reports to meet customer needs using JavaScript and SQL skills; Create detailed technical design specifications, use cases and work closely with the customer team to deploy solution from design to user acceptance; Work closely with architecture, development team, quality assurance to translate customer requirements and assure quality of delivery; Work closely with Project Manager to meet project milestones, provide periodic updates and help in identifying solutions and reducing risks to ensure successful implementation of the solution; Understand customers' business issues and make solution recommendations; Provide daily direction and communication to their respective teams to ensure customer issues are addressed in a timely, efficient and knowledgeable manner; Educational degree in Information Technology, Informatics, Computer Science or equivalent from reputable universities; A person with good character, highly motivated and willing to work hard; Willing to learn new things; Have good verbal and interpersonal communications; Experience in SAP Business one min. 3 years; Have at least 3 years' experience in programming; Comprehend basic SQL language; Understand Crystal Report; Understand company business process in general is a plus; Must have experience deploying software at customer sites, and working directly with end users; Possess experience in Microsoft Technology and in supporting clients to resolve issues; Have strong background in software application architecture and design; The candidate should also possess proven ability to manage complex software projects and deliveries from the development and quality assurance team; Have experience in building applications using software development methodology minimum 5 (five) SDLC (System Development Life Cycle); Have good skills in programming Microsoft Visual Basic.NET or C# .NET, Crystal Reports and Microsoft SQL Server.; Experience in HANA Database is a plus";South Jakarta, Jakarta;Developer/Programmer;full time;;16/01/2024
